pair,text1,text2,cosine_similarity
"('phrase1', 'phrase2')",アイロンをかける,プレスする,0.4297112226486206
"('phrase1', 'phrase2')",マッサージする,もみほぐす,0.5237149000167847
"('phrase1', 'phrase2')",遅い対応,のろい反応,0.5393938422203064
"('phrase1', 'phrase2')",冷たい反応,無関心な対応,0.5394604802131653
"('phrase1', 'phrase2')",SNSを確認する,ソーシャルメディアをチェック,0.5597382187843323
"('phrase1', 'phrase2')",広い心,度量の大きさ,0.5687739849090576
"('phrase1', 'phrase2')",急いでいる,時間がない,0.5944007039070129
"('phrase1', 'phrase2')",ストレッチする,体を伸ばす,0.5962445139884949
"('phrase1', 'phrase2')",窓を開ける,換気する,0.5966488122940063
"('phrase1', 'phrase2')",姿勢を正す,背筋を伸ばす,0.6001971960067749
"('phrase1', 'phrase2')",大きな夢,遠大な目標,0.6108359098434448
"('phrase1', 'phrase2')",低い意識,薄い認識,0.6264040470123291
"('phrase1', 'phrase2')",眠い,疲れている,0.6348834037780762
"('phrase1', 'phrase2')",メールを送る,連絡する,0.6358270645141602
"('phrase1', 'phrase2')",パソコンを使う,PCを操作する,0.6364638805389404
"('phrase1', 'phrase2')",電話に出る,応答する,0.6379215717315674
"('phrase1', 'phrase2')",爪を切る,マニキュアする,0.6439759731292725
"('phrase1', 'phrase2')",綺麗な部屋,整理された空間,0.6459255218505859
"('phrase1', 'phrase2')",電話をかける,コールする,0.6486687660217285
"('phrase1', 'phrase2')",早い成長,急速な発展,0.6489798426628113
"('phrase1', 'phrase2')",運動する,エクササイズする,0.6532994508743286
"('phrase1', 'phrase2')",インターネットを見る,ネットサーフィンする,0.6537355780601501
"('phrase1', 'phrase2')",怒る,立腹する,0.6539244651794434
"('phrase1', 'phrase2')",高い目標,遠大な志,0.6559600234031677
"('phrase1', 'phrase2')",暗い過去,つらい経験,0.6562627553939819
"('phrase1', 'phrase2')",歯をみがく,ブラッシングする,0.66056227684021
"('phrase1', 'phrase2')",柔らかい態度,融通の利く姿勢,0.666063129901886
"('phrase1', 'phrase2')",髪を乾かす,ドライヤーを使う,0.6675710678100586
"('phrase1', 'phrase2')",劣った品質,低い水準,0.6695209741592407
"('phrase1', 'phrase2')",友達と会う,仲間と過ごす,0.671865701675415
"('phrase1', 'phrase2')",お弁当を作る,ランチを準備する,0.6746723651885986
"('phrase1', 'phrase2')",爪を切る,ネイルケアする,0.6783730983734131
"('phrase1', 'phrase2')",家を出る,外出する,0.6787590980529785
"('phrase1', 'phrase2')",コーヒーを飲む,一服する,0.6825144290924072
"('phrase1', 'phrase2')",狭い視野,限定的な見方,0.6864238381385803
"('phrase1', 'phrase2')",疲れた,くたびれた,0.6876593828201294
"('phrase1', 'phrase2')",急ぐ,慌てる,0.6890052556991577
"('phrase1', 'phrase2')",冷たい態度,つれない対応,0.6890400648117065
"('phrase1', 'phrase2')",浅い理解,表面的な把握,0.691292405128479
"('phrase1', 'phrase2')",面白い映画,楽しい作品,0.691724419593811
"('phrase1', 'phrase2')",傘をさす,雨具を使う,0.6948957443237305
"('phrase1', 'phrase2')",身支度する,準備する,0.7050176858901978
"('phrase1', 'phrase2')",遅い進歩,緩慢な発達,0.7052004337310791
"('phrase1', 'phrase2')",小さな希望,些細な願い,0.7068299055099487
"('phrase1', 'phrase2')",良い習慣,健全な傾向,0.7068753242492676
"('phrase1', 'phrase2')",目覚める,起きる,0.7074569463729858
"('phrase1', 'phrase2')",貯める,蓄える,0.7086953520774841
"('phrase1', 'phrase2')",幸せな気分,心が満たされる,0.712528645992279
"('phrase1', 'phrase2')",甘い誘惑,魅力的な誘い,0.7187720537185669
"('phrase1', 'phrase2')",深い愛情,強い思い,0.7194876670837402
"('phrase1', 'phrase2')",小さな町,こじんまりとした街,0.7292083501815796
"('phrase1', 'phrase2')",シャワーを浴びる,水を浴びる,0.7321681976318359
"('phrase1', 'phrase2')",劣った性能,低い機能,0.7357852458953857
"('phrase1', 'phrase2')",掃除する,部屋を片付ける,0.7387719750404358
"('phrase1', 'phrase2')",軽い気持ち,楽な心持ち,0.7401518821716309
"('phrase1', 'phrase2')",お茶を入れる,急須でいれる,0.7407360076904297
"('phrase1', 'phrase2')",綺麗な心,純粋な精神,0.7430741786956787
"('phrase1', 'phrase2')",新鮮な野菜,採れたて,0.744131326675415
"('phrase1', 'phrase2')",暗い表情,沈んだ面持ち,0.7443757057189941
"('phrase1', 'phrase2')",楽しい時間,充実した瞬間,0.7451367378234863
"('phrase1', 'phrase2')",厚い信頼,強い信用,0.7459081411361694
"('phrase1', 'phrase2')",鍵を開ける,ロックを解除する,0.7460187673568726
"('phrase1', 'phrase2')",お菓子を食べる,スナックを食べる,0.7469252347946167
"('phrase1', 'phrase2')",のんびりする,ゆっくりする,0.7472019195556641
"('phrase1', 'phrase2')",覚える,記憶する,0.7512288093566895
"('phrase1', 'phrase2')",通勤する,会社に行く,0.7519782781600952
"('phrase1', 'phrase2')",探す,捜索する,0.7520787715911865
"('phrase1', 'phrase2')",美味しい料理,絶品の味,0.7524715662002563
"('phrase1', 'phrase2')",悲しい気持ち,落ち込んでいる,0.7529122233390808
"('phrase1', 'phrase2')",不便な仕組み,使いにくい制度,0.7564895749092102
"('phrase1', 'phrase2')",安い買い物,リーズナブルな取引,0.758470356464386
"('phrase1', 'phrase2')",長い時間,たっぷりとした期間,0.7621073722839355
"('phrase1', 'phrase2')",リラックスする,寛ぐ,0.7626438140869141
"('phrase1', 'phrase2')",服をたたむ,衣類を整理する,0.7629894018173218
"('phrase1', 'phrase2')",軽い気持ち,気楽な心持ち,0.7633369565010071
"('phrase1', 'phrase2')",片付ける,整理する,0.766539454460144
"('phrase1', 'phrase2')",悪い癖,よくない傾向,0.7668755054473877
"('phrase1', 'phrase2')",帰宅する,家に戻る,0.7685644030570984
"('phrase1', 'phrase2')",浅い関係,表面的なつながり,0.7698599696159363
"('phrase1', 'phrase2')",興味深い話,面白い内容,0.7726028561592102
"('phrase1', 'phrase2')",美味しい,絶品,0.7726576328277588
