pair,text1,text2,cosine_similarity
"('Category1', 'Category2')",殴られた,泳ぐ,0.2545596659183502
"('Category1', 'Category2')",寝た,歌う,0.262576699256897
"('Category1', 'Category2')",寝た,散歩する,0.2636084258556366
"('Category1', 'Category2')",寝た,追いかける,0.26484963297843933
"('Category1', 'Category2')",叫んだ,掃除する,0.2657565176486969
"('Category1', 'Category2')",ぶつかった,泳ぐ,0.27132803201675415
"('Category1', 'Category2')",寝た,泳ぐ,0.2751025855541229
"('Category1', 'Category2')",ぶつけられた,泳ぐ,0.2900775969028473
"('Category1', 'Category2')",謝った,泳ぐ,0.2930762469768524
"('Category1', 'Category2')",寝た,跳ねる,0.2966061532497406
"('Category1', 'Category2')",ぶつかった,掃除する,0.29881080985069275
"('Category1', 'Category2')",転んだ,泳ぐ,0.30299437046051025
"('Category1', 'Category2')",泣いた,登る,0.30433687567710876
"('Category1', 'Category2')",転んだ,料理する,0.3048589825630188
"('Category1', 'Category2')",ぶつかった,料理する,0.3056589961051941
"('Category1', 'Category2')",寝た,歩く,0.30652445554733276
"('Category1', 'Category2')",噛まれた,降りる,0.30695658922195435
"('Category1', 'Category2')",泣いた,散歩する,0.31196439266204834
"('Category1', 'Category2')",寝た,登る,0.31409263610839844
"('Category1', 'Category2')",寝た,走る,0.31441229581832886
"('Category1', 'Category2')",打撲した,泳ぐ,0.3159206807613373
"('Category1', 'Category2')",泣いた,料理する,0.3189990520477295
"('Category1', 'Category2')",叫んだ,料理する,0.3201361298561096
"('Category1', 'Category2')",蹴られた,泳ぐ,0.32444894313812256
"('Category1', 'Category2')",突き飛ばされた,掃除する,0.3248349726200104
"('Category1', 'Category2')",殴られた,掃除する,0.32511889934539795
"('Category1', 'Category2')",突き飛ばされた,料理する,0.3272096812725067
"('Category1', 'Category2')",寝た,話す,0.32813572883605957
"('Category1', 'Category2')",怒った,泳ぐ,0.3282071053981781
"('Category1', 'Category2')",寝た,遊ぶ,0.3305649757385254
"('Category1', 'Category2')",斬られた,掃除する,0.33064109086990356
"('Category1', 'Category2')",笑った,掃除する,0.3309920132160187
"('Category1', 'Category2')",寝た,逃げる,0.3312806487083435
"('Category1', 'Category2')",殴られた,散歩する,0.33194005489349365
"('Category1', 'Category2')",突き飛ばされた,泳ぐ,0.33278611302375793
"('Category1', 'Category2')",刺された,散歩する,0.33372509479522705
"('Category1', 'Category2')",蹴られた,料理する,0.3344126343727112
"('Category1', 'Category2')",ぶつかった,散歩する,0.336173951625824
"('Category1', 'Category2')",笑った,料理する,0.33739084005355835
"('Category1', 'Category2')",泣いた,飛ぶ,0.3375633955001831
